이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,키워드
송가옥,"곱창,막창",4.5,50,"서울 서초구 반포대로20길 57 한송빌딩 지하 1층
(지번) 서초동 1564-7",37.4885808,127.0129071,02-581-9297,"소대창(1인) (19,000원), 소곱창(1인) (17,000원), 양(특) (25,000원), 깃머리(특) (25,000원), 소막양(1인) (17,000원)",영업시간 월~금 17:00 ~ 22:00,"친절한,다양한,행복한,맛있는,깔끔한,소대창,양깃머리,염통,곱창전골,소곱창,단골집,단체모임,가성비,평일저녁,술한잔"
린참치,참치회,4.5,145,"서울 서초구 강남대로43길 17
(지번) 서초동 1358-3",37.48736261,127.0313583,02-3473-7490,"점심특선 (18,000원), 참치회 (특) (1인) (45,000원), 참치회 (스페셜) (59,000원), 참치회 (골드) (80,000원), 새우튀김 (30,000원), 메로구이 (30,000원), 회정식 (A) (23,000원), 회정식 (B) (35,000원), 초밥 (25,000원), 생대구탕 (35,000원), 대구탕 (15,000원), 알탕 (15,000원), 메로탕 (12,000원), 회덮밥 (10,000원), 알밥 (10,000원), 모밀(소바)정식 (12,000원), 우동정식 (10,000원)",영업시간 매일 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 16:30,"고급스런,깨끗한,다양한,친절한,신선한,초밥,튀김,참치회,알탕,대구탕,오픈키친,신선한,점심식사,가족과함께,단체모임"
한국회관,한식,4.6,326,"서울 서초구 사평대로18길 10 1층
(지번) 반포동 107-45",37.49839051,126.995612,02-595-3355,"갈비찜 (60,000원), 갈비살(130g) (40,000원), 꽃등심(130g) (45,000원), 한우생불고기 (25,000원), 생고기(육사시미) (50,000원), 갈비탕 (19,000원), 특갈비탕 (28,000원), 물냉면(평양) (10,000원), 회냉면 (12,000원)",영업시간 매일 11:30 ~ 22:00,"맛있는,친절한,깔끔하고,프라이빗한,깔끔한,한우,꽃등심,한우,불고기,방송출연,신선한,넓은공간,단체모임,외식,단골집"
앙젤리제,양식,4.8,554,"서울 서초구 방배천로2안길 69 2층
(지번) 방배동 454-14",37.48013273,126.9838905,0502-5551-6516,"앙젤리제 브런치 (18,000원), 크로크무슈 (15,000원), 리코타 샐러드 (10,000원), 에그 인 헬 (12,000원), 우거지 라구 파스타 (17,000원), 포르치니 버섯 크림 파스타 (17,000원), 봉골레 (17,000원), 갑오징어와 해산물이 어우러진 토마토 파스타 (19,000원), 소고기 채끝 스테이크와 감자그라탕 (45,000원), 오리가슴살 스테이크와 카시스향의 비트와 체리 (38,000원), 양갈비와 감자구이, 샤워크림 (40,000원), 감바스와 반미 바게트, 파스타 (23,000원), 리얼 바닐라빈 프렌치 토스트 (9,500원), 크렘 뷔릴레 (4,000원)","영업시간 금일 11:3022:00 · 브레이크타임 15:3017:30 · 라스트오더 21:00화목 11:3022:00 · 브레이크타임 15:3017:30 · 라스트오더 21:00, 월 정기휴무
","맛있는,친절한,다양한,데이트하기좋은,쾌적한,미슐랭,청첩장,와인,분수,토마토파스타,브런치,데이트코스,가족과함께,데이트맛집,사진찍기좋은"
김태완스시 방배본점,"초밥,롤",4.6,292,"서울 서초구 효령로31길 21 평안빌딩 1층
(지번) 방배동 911-19",37.48213283,126.9960781,0502-5551-5571,"오마카세 한상차림 B (29,000원), 오늘의초밥 (10ps) (15,500원), 스페셜초밥 (11ps) (19,000원), 오마카세스시 (11ps) (27,000원), VIP오마카세 (15ps) (34,000원), 미니사시미 17PS (35,000원), 모듬회 26PS (58,000원), 특모듬회 37PS (78,000원), 연어초밥 (10ps) (23,000원), 광어초밥 (10ps) (21,000원), 오마카세 한상차림 A (39,000원), 활광어회 (48,000원), 연어회 (43,000원)",영업시간 매일 10:30 ~ 22:00,"편하게,친절한,가성비좋은,다양한,맛있는,생선,안심,샐러드,사시미,후토마끼,신선한,태블릿,혼자갈만한,접근성,넓은공간"
멘야시노기,일본식라면,4.5,172,"서울 서초구 주흥길 3 1층 108호
(지번) 반포동 745-6",37.50375587,127.020793,02-6405-6505,"돈코츠라멘 (9,000원), 매운돈코츠라멘 (9,500원), 츠케멘 (10,000원), 아부라소바 (9,000원)",영업시간 월~토 11:30 ~ 20:00 · 휴게시간 월~토 14:30 ~ 17:00,"귀여운,맛있는,친절한,다양한,깔끔한,일본라멘,매운맛,교자,아부라소바,돈코츠라멘,혼자갈만한,접근성,가성비,평일저녁,혼밥러"
카사이,일본식주점,4.8,72,"서울 서초구 서초대로48길 107 지하1층
(지번) 서초동 1579-1",37.48825339,127.0127447,02-598-0988,"사시미2인 (45,000원), 마구로슈토치즈아에 (23,000원), 토마토다시츠케 (14,000원), 베이컨포테이토사라다 (13,000원), 프로슈토마구로 (26,000원)",영업시간 월~토 17:30 ~ 00:30,"깔끔하고,맛있는,친절한,신선한,깔끔한,참치,사시미,사케,파스타,전복내장,가성비,데이트코스,진로,단체모임,태블릿"
돝플러스,"육류,고기",4.7,97,"서울 서초구 서초대로25길 55 1층
(지번) 방배동 851-18",37.49019409,126.9928216,02-536-9233,"숙성암퇘지 한근600g (50,000원), 돝플러스 생항정살 (19,000원), 돝플러스 통가브리살 (16,000원), 순두부양푼이 (12,000원), 돝플러스 숙성삼겹살 (17,000원), 돝플러스 꼬들살 (16,000원), 돝플러스 숙성주먹고기 (16,000원), 돝플러스 통갈매기살 (16,000원), 특수부위 한근600g (50,000원), 태백고랭지김치찌개 (7,000원)
",영업시간 월~토 17:00 ~ 23:00,"음식이 맛있어요, 친절해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 매장이 넓어요, 삼겹살, 목살, 순두부양푼, 고소한, 숙성 돼지고기, 명이나물, 고기 퀄리티, 고기 맛, 김치, 고기 향, 무료주차, 원목 인테리어, 넉넉한 공간, 숯불, 고기 구워주기, 따뜻한 분위기, 가족모임, 데이트, 회식, 여행, 일상, 기념일, 친목, 나들이, 비즈니스, 혼자, 아이, 부모님, 지인, 동료, 반려동물, 친척, 형제"
미니말레 커피뢰스터 양재본점,카페,4.5,760,"서울 서초구 강남대로10길 32 1층
(지번) 양재동 329-11",37.46882878,127.041238,02-6104-4239,"플라셰 케이터링 세트 (10,000원), 수제 뉴욕쿠키 (다크 스모어) (4,100원), 수제 뉴욕쿠키 (오리지널 르뱅) (4,300원), 수제 뉴욕쿠키 (교토말차 스모어) (4,100원), 수제 뉴욕쿠키 (PB&J) (4,300원), 수제 뉴욕쿠키 (오트밀 레이즌) (3,900원), 헬싱키 라떼 (시그니처) (5,200원), 아메리카노(디카페인) (4,100원), 브리티시 아인슈페너 (4,800원), 골든 아쌈 밀크티 (5,200원), 시그니처 기프트 세트 (33,000원), 쿠키 기프트 세트(5입) (20,000원), 아메리카노 (듄켈) (3,600원), 헬싱키 라떼 플라셰 (6,300원), 스패니쉬 연유 라떼 (4,800원), 바닐라 라떼 (4,800원), 카페 모카 (5,200원), 플랫 그린 (5,200원), 라떼 (4,300원), 카푸치노 (4,300원), 플랫 화이트 (4,100원), 아메리카노 (밸런스) (3,600원), 화이트 아메리카노 (4,100원), 드립백 세트 (10개) (14,000원), 드립백 (듄켈) (1,500원), 드립백 (밸런스) (1,500원), 드립백 (디카페인) (1,500원), 드립백 (문도노보 싱글오리진) (1,500원), 콜드브루 아인슈페너 (4,800원), 콜드브루 라떼 (4,800원), 콜드브루 (4,100원), 스페셜티 더치커피 원액 (15,000원), 골든 아쌈 밀크티 (5,200원), 시그니처 자몽티 (5,200원), 시그니처 레몬티 (5,200원), 보성 말차라떼 (5,200원), 리얼 벨지안 다크초콜렛 (5,500원), 로열 블랙티 (5,300원), 로네펠트 허브티 (5,300원), 100% 토마토 주스 (6,300원), 생착즙 에이드 (레몬) (5,200원), 생착즙 에이드 (자몽) (5,200원), 수제 뉴욕쿠키 (오리지널 르뱅) (4,300원), 수제 뉴욕쿠키 (PB&J) (4,300원), 수제 뉴욕쿠키 (다크 스모어) (4,100원), 수제 뉴욕쿠키 (교토말차 스모어) (4,100원), 수제 뉴욕쿠키 (오트밀 레이즌) (3,900원), 오브시에 휘낭시에_오리지널 (2,700원), 오브시에 휘낭시에_무화과 크림치즈 (2,900원), 오브시에 휘낭시에_솔티카라멜 (2,900원)",월~금 08:00 ~ 19:00,"심플한,고급스러운,고소한,맛있는,다양한,카페,마카롱,디카페인,생크림스콘,로스팅,나들이,접근성,데이트코스,단체모임,브런치"
카페 콘띠오 ConTio,카페,4.7,65,"서울 서초구 언남길 35 1층 101호
(지번) 양재동 250-6",37.47279955,127.04171,010-3281-5525,"아메리카노 (4,700원), 라떼 (5,500원), 메이플라떼 (6,000원), 허니라떼 (6,500원), 루이보스 (5,500원)",월~금 07:00 ~ 21:00,"커피가 맛있어요, 친절해요, 인테리어가 멋져요, 음료가 맛있어요, 집중하기 좋아요, 카페, 분위기, 커피, 원두, 에스프레소, 추출방식, 핸드드립, 아리차, 더위, 아이스 만차다, 라떼, 카라멜향, 진한 커피, 사장님, 추천, 음악, 넓은 공간, 나무 코스터, 따뜻한 커피, 만족, 진심, 다채로운 맛, 떫은 맛, 집 근처, 아늑한 분위기, 강남 최고의 커피숍, 커피숍 분위기"
카몽,디저트카페,4.6,129,"서울 서초구 서초대로42길 17 1층
(지번) 서초동 1552-2",37.49120833,127.0089395,02-522-5949,"샤인머스캣 버터와플 (무료), 샤인머스캣 쵸코퐁듀와플 (무료), 아메리카노 (2,500원), 초코생딸기와플 (24,500원), 생딸기와플 (23,500원), 체리와플 (무료), 초코렛체리와플 (무료), 더블젤라또와플 (17,500원)",월~금 08:30 ~ 22:00,"세련된,신선한,넓은,맛있는,달달한,카페,피자,아이스크림,젤라또,딸기와플,가성비,단체모임,접근성,동네맛집,지역화폐"
경성회관,"육류,고기",4.5,109,"서울 서초구 서초대로55길 3 1층
(지번) 서초동 1696-13",37.49521657,127.0156172,02-566-4332,"암돼지삼겹살 (18,000원), 암돼지소금구이 (18,000원), 꼬들살 (18,000원), 꽃등심 1++ (36,000원), 모듬갈비살 1++ (34,000원), 차돌박이 1+ (29,000원), 안창살 1++ (46,000원), 새우살 (52,000원), 한우육회 (25,000원), 육사시미 (35,000원), 한우국밥 (10,000원), 통돼지찌개 (10,000원), 한우된장찌개 (10,000원), 육회비빔밥 (12,000원), 춘천막국수 (9,000원), 갈비탕 (15,000원), 한우생불고기정식 (25,000원)",월~토 10:00 ~ 22:00,"샤인머스캣 버터와플 (무료), 샤인머스캣 쵸코퐁듀와플 (무료), 아메리카노 (2,500원), 초코생딸기와플 (24,500원), 생딸기와플 (23,500원), 체리와플 (무료), 초코렛체리와플 (무료), 더블젤라또와플 (17,500원)"
오우치,일식,4.7,88,"서울 서초구 효령로 266 2층
(지번) 서초동 1458-4",37.48417429,127.0132553,02-6013-8545,"양살치살 (32,000원), 생양등심 (29,000원), 생양갈비 (33,000원), 프리미엄양갈비 (37,000원), 타마고밥 (2,500원), 냉모밀 (4,000원), 모시조개탕 (15,000원), 우동(계절메뉴) (6,000원)",영업시간 매일 11:30 ~ 22:30 · 휴게시간 매일 14:00 ~ 17:00,"깔끔한,편하게,맛있는,친절한,깔끔하고,냉모밀,생맥주,등심,갈비,하이볼,가족과함께,데이트코스,술한잔,단체모임,접근성"
앨리스프로젝트,디저트카페,4.7,157,"서울 서초구 양재천로 107-4 1층
(지번) 양재동 95-10",37.47700341,127.0403696,070-4233-0505,"2024 연말 테이블세트 (예약제) (35,000원), 피스타치오 레몬 케이크 (9,000원), 타임 케이크 (8,000원), 비트&파슬리 (11,000원), 커리&화이트 초코 (11,000원), 자스민&배 (10,000원), 고수 파블로바 (9,000원), 머랭롤라드 (8,500원), 크럼블 아이스크림 (테이크아웃) (5,000원), 아이스크림 테스터 (10,000원), 쌀&바닐라 루이보스 (10,000원), 아티초크&디종 머스터드 (11,000원)","영업시간 월,목,일 12:00 ~ 19:00","다양한,특이한,맛있는,특별한,달달한,코스요리,파블로바,위스키,드립커피,와인,단체모임,동네맛집,가성비,결혼식,단골집"
금옥당 서초점,디저트카페,4.9,91,"서울 서초구 반포대로7길 13 1층
(지번) 서초동 1475-4",37.48222056,127.0113383,02-583-6332,"팥양갱 (2,800원), 공주밤양갱 (4,300원), 쌍화차 (6,000원), 오미자차 (5,000원), 금옥팥죽 (9,000원), 딸기빙수 (13,000원), 통팥양갱 (2,800원), 단호박양갱 (3,800원), 호두양갱 (3,800원), 견과양갱 (3,800원), 밀크티양갱 (3,800원), 해남고구마양갱 (4,300원), 경산대추양갱 (4,300원), 라즈베리양갱 (3,800원), 보성말차양갱 (3,500원), 제주녹차양갱 (3,500원), 상주곶감양갱 (4,300원), 흑임자양갱 (3,800원), 서울빙수 (10,000원), 생강빙수 (12,000원)",매일 10:00 ~ 19:00,"건강한,다양한,예쁜,맛있는,달달한,딸기빙수,밀크티,수제양갱,라즈베리,디저트,선물용,명절선물,추석선물,부모님선물,어버이날선물"
텐쿡,"호프,요리주점",4.7,60,"서울 서초구 반포대로19길 9-4 1층
(지번) 서초동 1523-1",37.48716389,127.0088762,02-583-3961,"문어치킨 (38,000원), 떡볶이 (13,000원), 후라이드 치킨 (20,000원), 골뱅이무침 (24,000원), 오징어튀김 (20,000원), 해물 어묵탕 (22,000원), 모듬소세지 (24,000원), 순살 치킨 (22,000원), 문어 튀김 (26,000원)",영업시간 월~토 16:00 ~ 01:00,"커피가 맛있어요, 가성비가 좋아요, 단체모임 하기 좋아요, 문어튀김, 크림생맥주, 안주, 쭈꾸미 볶음, 문어치킨, 텐쿡, 시그니처 메뉴, 치킨, 생맥주, 오뎅탕, 맥주잔, 친절, 가성비 갑, 맛집, 고즈넉한 분위기, 회식, 데이트, 음식 맛, 양, 맛있어요, 신선한 재료, 맛있는 안주, 속 편한 튀김, 소면, 골뱅이무침, 트랜스지방 없는 튀김, 가성비 좋은, 음료, 기름이 깨끗한 튀김"
정고기,"육류,고기",4.9,88,"서울 서초구 강남대로34길 43 2층
(지번) 양재동 8-6",37.48378979,127.03824,010-2671-9249,"숙성삼겹 (15,000원), 숙성목살 (15,000원), 숙성가브리살 (17,000원), 숙성항정살 (19,000원), 돼지찜갈비 (11,000원), 송탄부대찌개 (10,000원), 숯불고기 물냉면 (11,000원), 숯불고기 비빔냉면 (11,000원), 왕만두 (1,500원), 돼지김치찌개 (8,000원), 우렁된장찌개 (8,000원), 계란찜 (4,000원), 후식 물냉면 (8,000원), 후식 비빔냉면 (8,000원)",영업시간 월~금 11:30 ~ 23:00 · 휴게시간 월~금 14:00 ~ 17:00,"맛있는,깔끔하고,깔끔한,친절한,편하게,숙성고기,삼겹살,항정살,돼지고기,양념게장,접근성,단체모임,가족과함께,점심식사,데이트코스"
소울버킷,햄버거,4.7,228,"서울 서초구 서초중앙로 75 동궁빌딩 202호
(지번) 서초동 1578-4",37.48850054,127.0142862,070-8839-3314,"순수 새우버거 (9,500원), 소울버킷버거(킹프라운버거) (13,000원), 메이플바베큐 치킨버거 (8,500원), 프레쉬광어 사치버거 (9,500원), 촤 그릴 비프버거 (9,000원), 프레쉬 광어 피쉬엔칩스 (20,000원), 메이플바베큐치킨윙&콘샐러드 (9,500원), 리치비프버거 (11,000원)",영업시간 매일 11:10 ~ 20:30,"맛있는,건강한,다양한,신선한,친절한,햄버거,스페셜,세트메뉴,새우버거,수제버거,혼자갈만한,평일저녁,접근성,데이트코스,단골"
미니말레 뢰스터리&커피바,카페,4.8,367,"서울 서초구 반포대로30길 70 우성빌딩 1층
(지번) 서초동 1571-14",37.49243087,127.01233,02-588-7963,"헬싱키 라떼 (시그니처) (4,500원), 브리티시 아인슈페너 (4,500원), 아메리카노 (3,000원)",월~금 08:00 ~ 19:00,"맛있는,다양한,고소한,깔끔하고,달달한,라떼,아메리카노,쿠키,시그니처,디저트,명함,노트북,선물용,단골,넓은공간"
호왕,"육류,고기",4.7,170,"서울 서초구 서초대로 91 1층
(지번) 방배동 872-7",37.48755401,126.9922277,010-9514-8586,"한우 묵은지 육회비빔밥 (15,000원), 안심/부채/갈비살/된장찌개 솥밥 (63,000원), 한우 부채살/감초 소양념갈비/된장찌개 솥밥 (47,000원), 한우 부채살/감초 한돈수제갈비/된장찌개 솥밥 (38,000원), 한우 부채살/한우 숯불불고기/된장찌개 솥밥 (35,000원), 한우 우족탕 (14,000원), 뚝배기불고기 (12,000원), 한우국밥 (12,000원), 된장찌개 (9,000원), 안심 150g (57,000원), 등심 150g (58,000원), 살치살 120g (64,000원), 안창 120g (65,000원), 감초 소양념갈비 (38,000원), 감초 한돈돼지갈비 (25,000원)",영업시간 월~토 11:30 ~ 21:30 · 휴게시간 매일 14:30 ~ 17:30,"아담한,분위기있는,맛있는,편하게,친절한,임실치즈,한우,겉절이,갈비살,안심,데이트,단체회식,접근성,단체모임,데이트코스"
맛있는집,떡볶이,4.6,198,"서울 서대문구 거북골로20길 55 지하1층
(지번) 북가좌동 311-6",37.58044046,126.9108437,02-305-1906,"떡볶이 (1인분) (3,500원), 계란 (2개) (1,000원)",영업시간 월~토 11:00 ~ 20:00,"추억의, 오래된, 달달한, 쫄깃한, 매운맛, 떡볶이, 어묵, 방송출연, 삶은계란, 혼자갈만한, 단골, 가성비, 명동교자, 테니스"
까이식당,동남아음식,4.5,135,"서울 서대문구 이화여대2가길 24 1층
(지번) 대현동 53-9",37.55848121,126.9462494,02-313-7339,"치킨라이스 (보통) (10,000원), 치킨라이스 (특) (14,000원), 싱하맥주 (6,000원), 콜라 (2,000원)",영업시간 월~금 11:00 ~ 20:00 · 휴게시간 월~금 15:00 ~ 17:00,"아담한, 좁은, 이국적인, 독특한, 로컬, 치킨, 누들, 치킨라이스, 특제소스, 동남아음식, 자극적인, 혼자갈만한"
연어초밥,"초밥,롤",4.7,123,"서울 서대문구 이화여대1길 42-1 3층
(지번) 대현동 101-10",37.55727227,126.9433872,02-313-2611,"생연어초밥(10p) (13,500원), 생연어+연어불초밥(10p) (13,500원), 생연어+새우초밥(10p) (12,900원), 생연어+생새우초밥(10p) (12,900원), 연어불초밥(10p) (13,900원), 모둠초밥(10p) (12,900원), 생연어+계란초밥(10p) (9,900원), 생연어+유부초밥(10p) (9,900원), 생연어+민물장어초밥(10p) (16,900원), 생연어 (14p) (17,500원), 연어불(14p) (17,500원), 생연어+연어불초밥(14p) (17,500원), 생연어+생새우초밥(14p) (16,900원), 생연어+초새우초밥(14p) (16,900원), 생연어+민물장어초밥(14p) (21,000원), 모둠초밥(14p) (16,900원), 계란만(12p) (9,000원), 유부만(12p) (9,000원), 장어만(10p) (17,000원), 장어만(14p) (24,000원), 계란(2p) (1,500원), 유부(2p) (1,500원), 생연어(2p) (3,000원), 연어불초밥(2p) (3,000원), 생새우(2p) (3,000원), 초새우(2p) (3,000원), 날치알(2p) (2,000원), 장어(2p) (4,000원)","영업시간 금~목 11:30~21:00, 14:30~17:00 브레이크타임, 20:30 라스트오더, 일~월 정기휴무","맛있는, 신선한, 가성비좋은, 친절한, 좁은, 생새우, 모듬초밥, 생연어초밥, 연어불초밥, 샐러드, 혼자갈만한, 태블릿, 취미, 무한리필, 동네맛집"
모래내곱창,"곱창,막창",4.5,98,"서울 서대문구 증가로10길 26 1층
(지번) 남가좌동 342-8",37.57840338,126.9236623,02-306-0374,"야채곱창볶음 (12,000원), 야채곱창순대볶음 (12,000원), 하얀알곱창 (12,000원), 빨간알곱창 (12,000원)",영업시간 월~토 12:00 ~ 23:30,"맛있는, 친절한, 매콤한, 가성비좋은, 고소한, 순대, 돼지곱창, 알곱창, 야채곱창볶음, 순대곱창볶음, 핫플레이스, 착한가격, 단골집, 평일저녁, 동네맛집"
연희미식,중식,4.5,60,"서울 서대문구 연희맛로 22 삼원빌딩 1층
(지번) 연희동 188-69",37.56693557,126.9301467,02-333-2119,"계란볶음밥 (6,000원), 게살볶음밥 (8,000원), 피단두부 (5,000원), 감자볶음 (7,000원), 번데기탕 (7,000원)","영업시간 금~목 17:00~22:00, 21:00 라스트오더, 일~월 정기휴무","음식이맛있어요, 친절해요, 가성비좋아요, 바지락볶음, 오징어튀김, 고기튀김, 덴뿌라, 튀긴고추, 볶음밥, 비타민볶음, 연태고량, 포장배달, 혼밥하기좋아요, 데이트, 친구, 지인, 동네맛집"
착한곱창,"곱창,막창",4.6,96,"서울 서대문구 연세로9길 19
(지번) 창천동 52-44",37.55838447,126.9356761,02-332-9572,"모듬구이 (200g) (9,900원), 곱창구이 (200g) (13,900원), 특모듬구이 (15,000원), 세트 A (51,900원), 세트 B (38,900원), 대창구이 (200g) (9,900원), 막창구이 (200g) (9,900원), 염통구이 (200g) (8,900원), 우삼겹추가 (200g) (10,900원), 한우육회 (9,900원), 도토리묵국수 (4,900원)",영업시간 월~토 16:00 ~ 01:00,"맛있는, 가성비좋은, 고소한, 친절한, 칼칼한, 볶음밥, 모듬구이, 대창, 순두부찌개, 육회, 무한리필, 단체모임, 저녁식사, 워치, 스터디
"
연희동양꼬치,양꼬치,4.6,51,"서울 서대문구 연희로 81-5 1층
(지번) 연희동 193-2",37.56555482,126.9294311,02-336-9762,"양삼겹살꼬치 (15,000원), 양념양꼬치 (16,000원), 시사모 (13,000원), 새우 (12,000원), 마늘꼬치 (2,000원), 꿔바로우 (18,000원), 가지볶음 (16,000원), 경장육슬 (25,000원), 향라육슬 (18,000원), 계란토마토볶음 (18,000원), 건두부볶음 (16,000원), 건두부무침 (13,000원), 돼지귀무침 (18,000원), 마파두부 (15,000원), 마라탕 (18,000원), 계란토마토탕 (15,000원), 가지덮밥 (10,000원), 새우볶음밥 (10,000원), 마파두부덮밥 (10,000원), 온면 (8,000원), 물만두 (8,000원)","영업시간 금~목 16:00~23:00, 월 정기휴무, 화(5/6) 대체공휴일 16:00~23:00","친절한, 깔끔한, 다양한, 깔끔하고, 맛있는, 가지볶음, 온면, 양고기, 양갈비, 평일저녁, 단골집, 넓은공간, 단체모임, 도장"
본지르르 연희,카페,4.5,383,"서울 서대문구 연희로 189-16
(지번) 연희동 132-9",37.57406447,126.9346323,0507-1324-9018,"에스프레소 (5,000원), 아메리카노 (5,500원), 카페라떼 (6,000원), 바닐라빈라떼 (6,500원), 카푸치노 (6,500원), 스위스밀크라떼 (7,000원), 레몬티 (6,500원), 발로나초코라떼 (7,000원), 링도너츠 (3,000원), 크림슈 (5,500원), 과일한접시 (6,500원), 바스크치즈케이크 (6,500원)",영업시간 매일 12:00 ~ 22:00,"편안한, 맛있는, 예쁜, 조용하고, 조용한분위기, 라떼, 치즈케이크, 테라스, 아이스아메리카노, 디저트, 넓은공간, 노트북, 스터디카페, 쇼파, 인생샷
"
원앤온리커피,카페,4.6,85,"서울 서대문구 이화여대7길 31-4 1층
(지번) 대현동 37-7",37.55853665,126.9437885,010-4257-2515,"에스프레소 (3,500원), 아메리카노 (4,000원), 라떼 (4,500원), 모카 (5,000원), 말차 (5,000원)",영업시간 월~토 11:00 ~ 21:00,"맛있는, 조용하고, 친절한, 깔끔한, 예쁜, 디저트, 브라우니, 휘낭시에, 치즈케이크, 카공, 노트북, 사진찍기좋은, 데이트하기좋은, 넓은공간"
베지스,양식,4.6,87,"서울 서대문구 홍연길 87 1층
(지번) 연희동 719-18",37.57687013,126.9312281,070-8648-2826,"타코라이스 (14,000원), 부추페스토파스타와 고사리나물 (14,000원), 포르치니 버섯크림뇨끼 (16,000원), 렌틸라구파스타와 딜크림 (15,000원), 후무스 오픈샌드위치 (11,000원)",영업시간 월 11:00 ~ 15:00,"다양한, 건강한, 귀여운, 맛있는, 편안함, 파스타, 후무스, 와인, 스프, 샐러드, 브런치, 건강식, 단골, 티타임, 추억"
만냥하우스,"호프,요리주점",4.6,95,"서울 서대문구 성산로 402-1
(지번) 창천동 97-58",37.5612894,126.9323333,02-322-6692,"닭날개 (12,000원), 감자튀김 (10,000원), 돈까스안주 (10,000원), 김말이튀김 (10,000원), 메추리알떡볶이 (10,000원), 두부김치 (12,000원), 해물파전 (10,000원), 김치전 (10,000원), 계란탕 (10,000원), 제육볶음 (10,000원), 오징어볶음 (10,000원), 닭발 (13,000원), 족발 (12,000원), 꼼장어 (13,000원), 삼겹살 (14,000원), 피조개 (10,000원), 꼬막 (10,000원), 굴전 (10,000원), 마른안주 (10,000원), 만두국 (6,000원), 라면 (4,000원), 김밥 (4,000원), 김밥전 (6,000원)",영업시간 매일 18:00 ~ 01:00,"추억의, 달달한, 맛있는, 가성비좋은, 노포, 두부김치, 어묵, 삼겹살, 떡볶이, 돈까스, 접근성, 술한잔, 단골집, 안마, 취미"
다시밥,분식,4.6,89,"서울 서대문구 통일로39길 43 1층
(지번) 홍제동 307-12",37.58725198,126.942468,070-7543-4341,"(계절메뉴)쫄면 (7,500원), 무떡볶이 (5,500원), 카레라이스 (9,000원), 다시.김밥 (4,000원), 게살키토김밥 (7,000원), 김치치즈김밥 (5,000원), 참치김밥 (5,000원)","영업시간 월,화,금,토,일 09:00 ~ 20:00 · 휴게시간 월,화,금 15:30 ~ 17:00","건강한, 다양한, 따뜻한, 맛있는, 아기자기한, 치즈김밥, 제육, 어묵, 참치김밥, 우동, 혼자갈만한, 혼밥러, 동네맛집, 접근성, 저녁식사"
라아,이탈리안,4.6,139,"서울 서대문구 연희로11라길 10-8 1층
(지번) 연희동 132-75",37.56847038,126.9303803,070-4833-1107,"감베르띠파스타 (21,000원), 한우카르파쵸 (23,000원), 관자샐러드 (19,000원), 쉬림프 시저샐러드 (19,000원), 미나리파스타 (21,000원), 한우 라구 볼로네제라자쟈 (21,000원), 새우크림파스타 (21,000원), 부라타치즈 토마토파스파 (22,000원)","영업시간 금~목 11:30~22:00, 15:00~17:00 브레이크타임, 20:10 라스트오더, 일~월 정기휴무, 런치 라스트오더 14:00, 디너 라스트오더 20:00","건강한, 예쁜, 친절한, 맛있는, 데이트하기좋은, 시그니처, 미나리파스타, 샐러드, 피클, 리조또, 단체모임, 데이트코스, 브런치, 평일저녁, 단골"
그라쏘,와인바,4.5,509,"서울 서대문구 통일로9안길 20-2 1층
(지번) 냉천동 176",37.56647297,126.9649692,010-9579-5069,"오븐에구운라자냐 (23,000원), 오늘의파스타 (19,000원), 치킨 (25,000원), 문어 (24,000원), 토마토부라따치즈샐러드 (15,000원), 구운버섯샐러드 (15,000원), 트러플크림한우육회 (19,000원), 구운브리치즈와 견과 (16,000원), 프로슈토와 멜론 그리고 계절과일 (19,000원), 그라쏘샤퀴테리모듬접시 (29,000원), 그라쏘치즈플레이트 (29,000원), 구운소세지플레이트 (29,000원), 홈메이드훈제연어 (19,000원)",영업시간 월~토 17:00 ~ 24:00,"다양한, 편안하고, 합리적인, 와인마시기좋은, 가성비좋은, 와인바, 안주, 파스타, 과일, 화이트와인, 특별한날, 접근성, 데이트코스, 연말파티, 저녁식사"
