이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,한줄평
베제투스,양식,4.3,22,"서울 용산구 신흥로 59 1층
(지번) 용산동2가 22-12",37.5437081,126.9872656,070-8824-5959,"라자냐 Lasagna （GF, NF） (15,500원), 미니 라따뚜이 （글루텐프리） (11,500원), 할라페뇨 버거 （넛츠프리） (15,500원), 베제투스 버거 (15,500원), 브리또볼 (13,500원), 맥앤치즈 Mac n cheese （GF） (14,500원), 갈릭 알프레도 Garlic Alfredo （GF） (15,500원), 애플크럼블 Apple crumble （GF, NF） (5,500원), 카프레제 파니니 (13,500원), 불고기 파니니 （넛츠프리） (13,500원), 감자튀김 (6,500원), 팔라펠 (8,500원), 나쵸칩 (7,500원), 그린 샐러드 （글루텐프리, 넛츠프리） (4,500원), 코카콜라 제로 뚱캔 (2,500원), 스프라이트 뚱캔 355mL (2,500원), 아메리카노 (4,000원), 아이스 아메리카노 (4,500원), 아몬드라떼 (5,000원), 아이스 아몬드라떼 (5,500원), 레몬에이드 (5,500원), 진저에이드 (5,500원), 망고코코넛 스무디 (6,500원), 초콜렛타르트 Chocolate tart （GF, NF） (5,500원), 브라우니 Brownies （GF） (4,500원), 바나나 브레드 Banana bread （GF, NF） (4,000원), 스텔라 아르투아 Stella Artois (6,000원), 오차드 티프 Orchard Thieves (7,000원), 코로나 Corona (6,500원), 제주위트에일 Jeju Wit Ale (7,000원)","영업시간 월,수,목,금,토,일 12:00 ~ 21:30 · 휴게시간 월,수,목,금,토,일 15:00 ~ 17:00",
버거인,햄버거,4.4,135,"서울 용산구 청파로43길 12 지하1층
(지번) 청파동3가 44",37.54368985,126.9700315,070-7573-7145,메뉴 없음,영업시간 월~금 11:00 ~ 20:00 · 휴게시간 월~금 15:00 ~ 16:30,
동빙고 2호점,디저트카페,3.8,83,"서울 용산구 이촌로 182 풍원상가 1층 109호
(지번) 이촌동 302-68",37.52122971,126.9673742,02-790-7779,"아메리카노(HOT) (4,000원), 카페라떼(HOT) (5,000원), 진저허브티(HOT) (5,000원), 단팥죽 (7,000원), 녹차빙수 (7,500원)",매일 10:30 ~ 22:00,
그린호프,"호프,요리주점",3.5,77,"서울 용산구 한강대로 126
(지번) 한강로2가 135-1",37.5306274,126.9696504,02-794-9163,"후라이드치킨 (19,000원), 양념치킨 (20,000원), 반반치킨 (20,000원), 순살치킨 (20,000원), 순살양념 (21,000원), 반반순살 (21,000원), 모듬안주 (27,000원), 과일화채 (25,000원), 훈제칠면조 (26,000원), 모듬소세지 (19,000원), 쏘야볶음 (18,000원), 닭똥집볶음 (18,000원), 황도 (15,000원), 오징어 (17,000원), 소고기육포 (17,000원), 먹태 (18,000원), 학꽁치 (16,000원), 마른안주 (15,000원), 쥐포 (15,000원), 계란탕 (19,000원), 오뎅탕 (19,000원), 뚝배기번데기 (15,000원), 생선까스 (18,000원), 돈까스 (18,000원), 감자튀김 (15,000원)",매일 16:30 ~ 02:00,
양인환대,"육류,고기",4.5,802,"서울 용산구 한강대로40길 14 1층 101호
(지번) 한강로2가 143-1",37.53014662,126.9699695,,"토요일 오반한상 (2인) (99,000원), 토요일 오반한상 (4인) (198,000원), 꿀등심 (2인이상) (33,000원), 양삼겹살 (150g) (31,000원), 갈비살 (150g) (31,000원), 프랜치택 (200g) (35,000원), 양전골 (1인) (16,000원), 두부밥 (8,000원)",월~금 16:00 ~ 22:00,
정감어린,"육류,고기",3.6,201,"서울 용산구 후암로 4
(지번) 후암동 255-1",37.5462539,126.9786887,02-754-4389,"소고기우육면 (10,000원), 점심소갈비정식 (29,000원), 투뿔채끝등심 (150g) (44,000원), 으뜸갈비탕 (16,000원), 동치미메밀냉면 (10,000원), 얼큰양곰탕 (12,000원), 수제돼지갈비 (19,000원), 양념소갈비 (28,000원), 한우육회 (25,000원)",월요일,
오설록티하우스 오설록1979,카페,4.3,36,"서울 용산구 한강대로 100 아모레퍼시픽빌딩 1층
(지번) 한강로2가 424",37.52879118,126.9686736,070-5172-1171,메뉴 없음,영업시간 월~금 10:00 ~ 19:00,
장터갈비,갈비,3.2,52,"서울 용산구 대사관로34길 21 1층
(지번) 한남동 627",37.53225854,127.0060908,02-794-3700,"차돌된장찌개 (7,000원), LA갈비 (200g) (15,000원), 꽃살 (160g) (18,000원), 차돌박이 (160g) (18,000원), 갈비살 (160g) (14,000원)",월요일,
팬케익오리지널스토리 한남점,디저트카페,3.6,82,"서울 용산구 독서당로 67 1층
(지번) 한남동 261-6",37.5338685,127.0081536,02-794-0508,"낙타의하루 (18,500원), 오리지날 버터밀크 팬케익 (9,300원), 초콜릿이 퐁당,초콜릭 팬케익 (9,800원), 블루베리가 속으로 꽉 찬 베리베리 팬케익 (10,300원), 엉망진창 팬케익 (12,500원), (여름 한정)복숭아 팬케익 (10,500원), (겨울 한정)달콤 딸기 팬케익 (10,500원), 스티브 아저씨 팬케익 (13,500원), 에그베이컨팬케익롤 (11,500원), 달콤초코와플 (10,300원), 아삭아삭사과와플 (10,300원), 담백고소크림치즈와플 (10,300원), 계절메뉴)딸기와플 (10,500원)",영업시간 월~금 08:00 ~ 15:00,
차이옌,중국요리,3.9,52,"서울 용산구 이촌로88길 8
(지번) 이촌동 300-16",37.51825205,126.9777613,02-792-0872,"점심특선 (30,000원), A코스 (45,000원), B코스 (60,000원), C코스 (85,000원), D코스 (120,000원)",영업시간 매일 11:30 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:00,
빠르크 한남점,한식,3.6,173,"서울 용산구 이태원로55가길 26-5 1층
(지번) 한남동 743-1",37.53748711,126.9997309,02-792-2022,"수란&베이컨을 올린 묵은지 볶음밥 (13,000원), 탕수두부 (보통) (14,000원), 탕수두부 (작은거) (11,000원), 횡성산골더덕&새송이구이 (15,000원), 통영굴매콤무침 (13,000원), 통영굴미나리해장국 (13,000원), 국내산 등갈비제철배추찜 (25,000원), 미국산 블랙 앵거스 LA갈비구이 (300g) (30,000원), 7나물반상 (0원), 수란톡!묵은지비빔면 (0원), 고등어쌈장 쌈밥 정식 (0원), 새우브로콜리볶음 (0원), 국내산암퇘지제육볶음 (기본) (0원), 국내산암퇘지제육볶음 (쌈추가) (0원), 호주산LA갈비 (300g) (0원), 잡채 (0원), 동치미 (0원), 해파리냉채 (0원), 우렁강된장 (0원), 비빔밥 (0원)",영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 15:20 ~ 17:30,
소소막창,"곱창,막창",4.5,37,"서울 용산구 보광로 9 1층
(지번) 보광동 91-1",37.52562425,127.0012952,02-790-3630,"갈매기살 (16,000원), 벌집껍데기 (8,000원), 뒷고기 (16,000원), 대구 소막창 (25,000원), 대구 돼지막창 (16,000원), 돼지 파막창 (18,000원), 얼큰순두부 (7,000원), 김치볶음밥 (6,000원), 콩나물라면 (5,000원)","월,수,목,금,토,일 16:00 ~ 24:00",
방방,와인바,4.2,166,"서울 용산구 신흥로 99-9 1,2층
(지번) 용산동2가 1-684",37.54498427,126.9849365,,메뉴 없음,월 18:00 ~ 23:00,
챔프커피 2작업실,커피전문점,3.8,41,"서울 용산구 녹사평대로26가길 24 1층
(지번) 이태원동 79-44",37.53249931,126.9928269,02-790-4516,"챔프커피 (5,000원), 퀸즈커피 (5,800원), 챔프 카카오 (HOT) (6,300원), 챔프 초코쿠키 (3,500원), 코르타도 (5,000원), 카페라떼 (5,500원), 카푸치노 (5,000원), 을지로커피 (5,800원), 트리플모카 (5,800원), 리스트레토 (4,500원), 에스프레소 (4,500원), 아메리카노 (4,500원), 필터커피 (6,000원), 무주반딧불사과주스 (6,300원), 스퀴즈드 레몬 (6,300원), 삼다꿀배티 (6,300원), 탠지레몬티 (6,300원), 챔프 크랜베리쿠키 (3,500원), 챔프 바 (5,500원)",영업시간 매일 09:00 ~ 20:30,
엘카페커피로스터스,카페,4.2,138,"서울 용산구 후암로 68 지하1층 1호
(지번) 후암동 1-43",37.55196909,126.9771125,070-8269-0715,"아메리카노 (5,000원), 카페라떼 (5,500원), 콜드브루 (5,500원), 브루잉커피 (변동가격)",,
일팔사이1842,양식,4.4,25,"서울 용산구 이태원로 244 트윈빌딩 L1
(지번) 한남동 683-141",37.53648132,127.0005006,02-792-1842,"꼴레뇨: 체코식 족발 (54,000원), 꼴레뇨 세트: 체코식 족발 세트 (90,000원), 스비치코바 (38,000원), 채끝 스테이크 150g (41,000원), 타타락 : 체코식 육회 (24,000원), 굴라시: 체코식 비프 스튜 (26,000원), 체코 소시지 (24,000원), 시저 샐러드 (19,000원), 베이컨 앤 갈릭 오일 파스타 (24,000원), 새우 크림 파스타 (22,000원), 스트루들: 애플 파이 (9,000원), 메도브닉(꿀 케이크) (8,500원), 치킨 윙스(10조각) (20,000원), 버섯 튀김 (16,000원), 스마지니실: 체코식 치즈 튀김 (22,000원), 트러플 감자 튀김 (14,000원)",매일 11:30 ~ 22:30,
충무칼국수,칼국수,4.4,162,"서울 용산구 한강대로104길 38 1층
(지번) 동자동 23-29",37.55020311,126.9743779,02-754-1123,"콩국수 (10,000원), 보쌈(대) (49,000원), 보쌈 (소) (33,000원), 칼국수 (8,000원), 해장국 (8,000원)",영업시간 월~토 11:30 ~ 21:00 · 휴게시간 월~토 15:00 ~ 17:00,
현진이네,한식,3.9,46,"서울 용산구 대사관로31길 12
(지번) 한남동 657-98",37.53385737,127.0059819,02-796-7928,"삼겹제육볶음 (15,000원), 제육볶음 (11,000원), 자반구이 (9,000원), 부대찌개 (9,500원), 돌솥비빔밥 (9,000원)",월~토 11:00 ~ 22:00 · 휴게시간 월~토 14:30 ~ 17:30,
더플레이스다이닝 N서울타워점,양식,3.5,125,"서울 용산구 남산공원길 105 N서울타워 T2층
(지번) 용산동2가 산 1-3",37.55112257,126.9878678,02-3455-9220,"이탈리안 시저샐러드 (15,000원), 루꼴라 샐러드 (13,000원), 부라타 카프레제 (19,000원), 프레시 마르게리따 피자 (26,000원), 친퀘 포르마지오 피자 (28,000원), 트러플 풍기 피자 (30,000원), 가리비 관자 파스타 (29,000원), 까르보나라 (26,000원), 카치오 에 페페 뇨끼 (29,000원), 트러플 머쉬룸 파스타 (29,000원), 아마트리치아나 (25,000원), 부라타 뽀모도로 (28,000원), 비스테카 알라 피오렌티나 (160,000원), 딸리아따 디 만조 (68,000원), 비스테카 립아이 (72,000원), 치킨앤칩스 (24,000원), 레몬소르베 (6,000원), 2인 세트 (126,000원), 3인 세트 (168,000원)",매일 11:00 ~ 22:00,
라인드 한남 다이닝,이탈리안,3.7,125,"서울 용산구 대사관로31길 16 6~R층
(지번) 한남동 657-97",37.5339879,127.0059929,010-9477-6678,"Seafood Cannelloni Pasta (34,000원), Baby Cuttle Fish (26,000원), Sea Bass Bouillabaisse (70,000원), French Onion Soup (22,000원), Burrata Cheese & Tomato Confit (24,000원), Smoked Salmon Carpaccio (26,000원), Roasted Scallops with Paprica (26,000원), King Prawn Bisque Rose Pasta (38,000원), Cheese Platter (38,000원), Baked Sea Bass (68,000원), Beef Carpaccio (32,000원), Pork Steak (68,000원), Scallps with Mushroom Sauce (29,000원), Marinated Eggplant (24,000원), White Ragu (33,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,
보르고한남,이탈리안,3.8,61,"서울 용산구 이태원로54길 31 3층
(지번) 한남동 684-62",37.5370311,127.0019509,02-6082-2727,메뉴 없음,월요일,
크레이트커피,카페,4.5,139,"서울 용산구 독서당로 97 1층
(지번) 한남동 33-4",37.53531764,127.0107932,070-7576-4936,"아메리카노 (5,000원), 카푸치노 (6,500원), 라떼 (6,500원), 플랫화이트 (6,500원), 바닐라라떼 (7,000원), 카카오크림라떼 (7,500원), 착즙주스 (7,500원), 초코라떼 (7,000원), 레몬 에이드 (7,000원), 패션후루츠 에이드 (7,000원), 얼그레이 클래식 (6,000원), 페르디셔 압펠 사과티 (6,000원), 히비스커스 (7,500원), 밀크티 (7,500원)",영업시간 월~금 10:30 ~ 18:30,
내추럴하이,양식,3.8,242,"서울 용산구 녹사평대로 248 1층
(지번) 이태원동 717",37.53969391,126.9875565,0507-1326-3372,메뉴 없음,월~금 11:30 ~ 22:00,
교양식사,일식,3.8,55,"서울 용산구 이태원로 238 1층 3호
(지번) 한남동 683-134",37.53591946,126.9999163,010-7601-4041,"프렌치랙 (35,000원), 숄더랙 (33,000원), 스프카레 (20,000원), 마늘밥+나박김치 (5,000원), 오차즈케 (4,000원)",월~금 17:00 ~ 22:00,
부기우기,칵테일바,3.8,94,"서울 용산구 회나무로 21 2층
(지번) 이태원동 278-8",37.53922057,126.9890074,010-2396-3050,메뉴 없음,월~토 17:30 ~ 01:00,
33아파트먼트,카페,3.7,45,"서울 용산구 한남대로27길 33 1층
(지번) 한남동 729-68",37.53824662,127.0029932,02-794-0033,"에소프레소 (5,000원), 아메리카노 (5,500원), 카페라떼 (6,000원), 카페모카 (6,000원), 초코라떼 (5,500원)",영업시간 월~금 09:00 ~ 17:00,
아벡쉐리,"제과,베이커리",3.4,21,"서울 용산구 이태원로 247
(지번) 한남동 738-25",37.53691894,127.0002585,02-749-4766,"사보리 크림 (7,500원), 플레인 소금빵 (3,500원), 아메리카노 (5,000원), 레몬 아이스티 (6,500원), 플랫 화이트 (5,500원), 아이스 카페 라떼 (6,000원), 카푸치노 (5,500원), 아이스 카페 바닐라 (7,000원), 메이플 밀크티 (6,500원), 바질 레모네이드 (7,000원), 말차 크림 밀크 (7,500원), 프레시 크림 소금빵 (4,800원), 아벡 샌드위치 (6,200원), 잠봉 샌드위치 (6,200원), 소세지 소금빵 (5,000원), 레드 빈 버터 (5,000원), 흑임자 크림 소금빵 (4,800원), 올리브 소금빵 (4,000원), 참깨 소금빵 (4,000원), 검은깨 소금빵 (4,000원)",영업시간 매일 08:30 ~ 21:00,
무월한남,한식,4.3,191,"서울 용산구 대사관로34길 31-8 1-2층
(지번) 한남동 625-1",37.53171027,127.0062634,02-794-3060,"한우육전 (19,800원), 한방 바베큐보쌈(2인) (23,000원), 숙성모둠회와 야채샐러드 (56,000원), 리코타치즈막걸리 (11,000원), 한방 바베큐보쌈(3인) (28,000원), 문어 보쌈 삼합 (29,000원), 통오징어짬뽕탕 (24,500원), 문어숙회 (21,000원), 무월세트메뉴1 (110,000원), 무월세트메뉴2 (78,000원), 바밤바 막걸리 (9,000원), 고추튀김 (18,000원), 토마토 떡볶이 (23,000원), 生연어사시미 (29,800원), 낙삼볶음 (23,500원), 탱글새우전 (18,500원), 가리비 조개탕 (26,500원), 딸기바나나우유 막걸리 (9,000원), 블루베리 막걸리 (9,000원), 청포도 막걸리 (9,000원)",매일 16:00 ~ 01:00,
감동골,오리,4.8,12,"서울 용산구 새창로45길 1 1층
(지번) 신계동 33",37.53464857,126.9624273,02-711-9933,"항정살 (가격정보 없음), 닭도리탕 (가격정보 없음), 집된장 (가격정보 없음), 삼계탕 (0원), 더덕구이 (가격정보 없음), 검은콩국수 (가격정보 없음), 닭한마리 (가격정보 없음)",매일 10:00 ~ 22:00,
볼레로,와인바,3.8,15,"서울 용산구 이태원로 220
(지번) 한남동 736-15",37.53481446,126.9984813,,"피낭시에 (가격정보 없음), 라테 (가격정보 없음)",,
노이덴,베트남음식,4.3,456,"서울 용산구 한강대로 373 1층
(지번) 동자동 43-13",37.55171156,126.9719943,02-711-4748,"반미 (9,000원), 분짜 (14,000원), 퍼보(차돌양지 쌀국수) (11,000원), 퍼까이(매운쌀국수/레몬그라스) (12,000원), 퍼승보(갈비쌀국수) (16,000원), 껌진 돔(새우 볶음밥) (11,000원), 껌진띳보(소고기 볶음밥) (11,000원), 분보남보(비빔쌀국수) (12,000원), 미싸오 (11,000원), 넴루이 (18,000원), 짜조(3p) (9,000원), 라우몽(모닝글로리볶음) (9,000원)",매일 11:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,
르미야,이탈리안,3.5,196,"서울 용산구 이촌로77길 19 1층
(지번) 이촌동 301-53",37.52055367,126.974667,02-797-9135,"순살 고등어 파스타 (16,000원), 갓김치 페투치네 (17,000원), 쇼가야키 카레 (13,000원), 와인 비프 카레 (15,000원), 키마 카레 (10,500원), 치즈 키마 카레 (13,000원), 아보카도 키마 카레 (15,000원), 바지락 술국 파스타 (16,000원), 명란 크림 파스타 (16,000원), 르미야 스테이크 (33,000원), 콘 샐러드 (5,000원), 핫 오레오 아이스크림 (7,000원), 케이준 프렌치 프라이 (4,000원), 나베 함박 스테이크 (14,500원), 하카타야끼파스타 (13,900원)",영업시간 매일 11:00 ~ 21:30 · 휴게시간 매일 15:00 ~ 16:30,
뚝배기라면,분식,4.2,67,"서울 용산구 한강대로 52 1층
(지번) 한강로3가 61-1",37.52537613,126.964604,02-795-7256,"해물라면 (4,000원), 만두라면 (4,000원), 콩나물라면 (4,000원), 치즈라면 (4,000원), 어묵라면 (4,000원)",영업시간 월~금 07:00 ~ 20:00,
제주항,회,4.2,55,"서울 용산구 한강대로 153 1층
(지번) 한강로2가 258-5",37.53292379,126.9711169,,"모둠회 (중) (44,000원), 오도로 (35,000원), 지라시 덮밥 (19,000원), 생연어회 (중) (25,000원), 생연어 덮밥 (15,000원)",월~토 17:00 ~ 22:00,
한와담 한남본점,"육류,고기",3.2,22,"서울 용산구 독서당로 65-1 2층
(지번) 한남동 75-1",37.53383186,127.0077462,02-749-7905,"한와담 특안심 (150g) (59,000원), 숙성 채끝등심 (150g) (59,000원), 숙성 눈꽃등심 (150g) (59,000원), 어린암소세트 (270,000원), 숙성 새우등심 (150g) (68,000원), 숙성 살치살(150g) (65,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,
매덕스피자,피자,3.9,53,"서울 용산구 이태원로26길 26 2층
(지번) 이태원동 129-9",37.53334575,126.9935243,02-792-2420,"치즈피자 (5,400원), 페페로니피자 (6,200원), 미트볼피자 (6,900원), 마르게리타피자 (7,400원), 하와이안피자 (7,900원), 시금치&아티초크 (7,400원), 맥&치즈 W / BAC ON (7,600원), 시실리언 (5,900원), 초리조 (7,200원), 미트볼서브 (10,300원)",매일 12:00 ~ 22:00,
로즈앤크라운,양식,4.4,40,"서울 용산구 이태원로19길 6 2-3층
(지번) 이태원동 118-23",37.534725,126.9919867,010-7532-5484,"Fish & Chips (21,000원), Bangers & Mash (15,000원), Cottage Pie (13,000원), 영국식 커리와 터미릭 라이스 (14,000원), 애플크럼블과 바닐라 아이스크림 (6,000원), Meatball Pasta (14,000원), Shrimp Olive Oil Pasta (14,000원), Vongole Pasta (14,000원), K-Mac & Chees (12,000원), BBQ Chicken Pizza (13,000원), Pepperoni Pizza (13,000원), Margherita Pizza (13,000원), Half & Half Pizza (13,000원), XL Cocktail (12,000원), ITAEWON IPA(330ml) (8,000원), Red Rock (5,000원), Guinness (9,000원), Tennent's Lager(250ml) (8,000원), Hoegaarden (7,000원), Budweisser (6,000원)",월~목 16:00 ~ 01:00,
한쿡 N서울타워점,한식뷔페,3.4,250,서울 용산구 용산동2가 산 1-3 N서울타워 3층,37.54894311,126.9894042,02-3455-9292,"취학아동 (105,000원), 미취학아동 (35,000원), 평일런치 (60,000원), 평일디너 (105,000원), 주말/공휴일 (105,000원)",매일 12:00 ~ 22:00 · 휴게시간 월~금 16:00 ~ 17:00,
키보 에다마메,일식,4.5,665,"서울 용산구 한강대로76길 11-40
(지번) 남영동 97-5",37.54243437,126.9737108,070-8866-1140,"스파이시 유린기 (18,000원), 야끼사바 차항(고등어볶음밥) (16,000원), 시오야끼소바 (16,000원), 명란 포테토 사라다 (9,000원), 에다마메 하이볼 (7,000원)","월,화,수,금,토 11:30 ~ 22:30 · 휴게시간 월~토 14:30 ~ 17:00",
브라이리퍼블릭 이태원점,"스테이크,립",4.2,24,"서울 용산구 이태원로14길 19 2층
(지번) 이태원동 63-4",37.53354667,126.9907866,070-8879-1967,메뉴 없음,영업시간 월 17:00 ~ 21:00,
리틀넥 한남,양식,3.8,628,"서울 용산구 한남대로27길 66 1층
(지번) 한남동 727-21",37.53961118,127.003016,070-8869-9499,"하우스 샐러드 (12,000원), 구운 야채 샐러드 (15,000원), 살몬 포케 (14,000원), 갈릭버터쉬림프 포케 (13,000원), 에그 베네딕트 (17,000원), 하우스 스테이크 (29,000원), 프렌치 프라이즈 (9,000원), 고구마 프라이즈 (9,000원), 크랩 아보카도 버거 (12,000원), 살몬 아보카도 버거 (15,000원), 아보카도 토스트 (12,000원), 아메리칸 오믈렛 (15,000원), 명란 크림 파스타 (19,000원), 엔초비 쉬림프 파스타 (19,000원), 부라타 토마토 파스타 (19,000원), 라자냐 (19,000원), 머쉬룸 리조또 (23,000원), 관자 바질 리조또 (20,000원), 비프 스튜 파스타 (20,000원)",월요일,
마하 한남,카페,4.5,272,"서울 용산구 서빙고로91나길 85 4층
(지번) 동빙고동 21-2",37.52449235,126.9960877,070-8064-8409,"creme caramel latte (8,800원), espresso (6,500원), americano (7,500원), whisky (변동가격), creme vanilla (8,500원), affogato (8,500원), creme brownie (9,500원), tiramisu x bistecca (9,500원), green tangerine ade (8,500원), rice croissant (5,500원)","영업시간 월,화,수,목,일 12:00 ~ 21:00",
잭잭,햄버거,3.7,46,"서울 용산구 회나무로6길 21 1층
(지번) 이태원동 292-4",37.53800944,126.9888792,02-797-0716,"사진참고 (0원), 콤보01 (14,400원), 콤보02 (19,900원), 콤보04 (18,400원), 잭잭 (10,900원), 클래식 (10,900원), 오이려좋아 (10,900원), 콤보03 (가격정보 없음)",영업시간 매일 11:30 ~ 21:30 · 휴게시간 매일 15:30 ~ 17:00,
봉희가든,"육류,고기",3.4,10,"서울 용산구 대사관로 62 2층
(지번) 한남동 638-5",37.53320995,127.0049787,,"생등심 (180g) (45,000원), 등심주물럭 (180g) (43,000원), 차돌박이 (150g) (28,000원), 등심불고기 (200g) (28,000원), 불고기 (1인분) (18,000원), 돼지갈비(300g) (18,000원), 한돈생삼겹살 (17,000원), 영양돌솥밥 (15,000원), 갈비탕 (13,000원), 우거지갈비탕 (11,000원), 산채비빔밥 (10,000원), 돌솥비빔밥 (10,000원), 청국장정식 (10,000원), 간장게장돌솥정식 (39,000원), 냉면 (10,000원)",영업시간 매일 11:00 ~ 21:40,
동표골뱅이 1호점,"호프,요리주점",4.4,84,"서울 용산구 새창로45길 5 1층 1호
(지번) 신계동 32-5",37.53453494,126.9626634,02-714-2077,"을지로골뱅이무침 (30,000원), 동해산생골뱅이(중) (48,000원), 오징어골뱅이전 (17,000원), 오징어순대 (23,000원), 생골뱅이탕 대 (59,000원)",월~금 16:30 ~ 22:30,
백경식당,한식,4.2,100,"서울 용산구 한강대로54길 20 1층
(지번) 한강로2가 27-2",37.53250601,126.9726912,02-793-0785,"자반구이 (10,000원), 내장탕 (10,000원), 부대전골(2인이상) (9,000원), 비빔밥 (9,000원), 육개장 (9,000원), 제육백반 (9,000원), 된장찌개 (8,000원), 순두부 (8,000원), 곱창전골 (15,000원), 오리주물럭 (50,000원), 생등심 (35,000원), 차돌박이 (33,000원), 생삼겹 (15,000원), 곱창전골(2인이상) (15,000원), 버섯전골(2인이상) (15,000원), 계란말이 (10,000원)",월~토 10:30 ~ 22:00 · 휴게시간 월~토 16:00 ~ 17:00,
쇼니노,양식,3.6,820,"서울 용산구 한강대로21길 17-18 1층
(지번) 한강로3가 40-126",37.52632516,126.9634315,02-6954-7655,Shawnino menu (변동가격),월~토 10:00 ~ 22:00 · 휴게시간 월~금 16:00 ~ 18:00,
업스탠딩커피,카페,4.1,219,"서울 용산구 신흥로 99-11 1,2층
(지번) 용산동2가 1-457",37.54496004,126.984968,0507-1393-8727,"블랙 (변동가격), 화이트 (변동가격)",영업시간 월~목 10:00 ~ 19:00,
교토마블 이촌점,"제과,베이커리",3.5,32,"서울 용산구 서빙고로 69 용산파크타워 지하1층
(지번) 용산동5가 24-1",37.52371135,126.9723515,,"햄치즈 토스트 1/2 (6,500원), 후아후아 토스트 1/2 (7,500원), 베리후아 토스트 1/2 (9,000원), 애플시나몬 토스트1/2 (9,000원), 플레인 1/2 (6,800원)",영업시간 매일 08:00 ~ 16:30,
오통영 이촌본점,한식,3.7,32,"서울 용산구 이촌로 300 렉스상가 12-2호
(지번) 이촌동 301-263",37.51784399,126.9803234,02-794-2377,메뉴 없음,매일 11:30 ~ 22:00 · 휴게시간 매일 15:30 ~ 17:00,
시집못간돼지 연탄구이,"육류,고기",3.9,41,"서울 용산구 한강대로 369-1
(지번) 동자동 43-16",37.55147603,126.9719697,02-701-5512,"연탄돼지불고기 무한리필 (1인) (19,000원), 연탄고추장불고기 무한리필 (1인) (12,000원), 연탄초벌삼겹살 무한리필 (1인) (13,000원), 돼지막창 무한리필 (1인) (21,000원), 해물된장찌개 (5,000원)",월~토 16:00 ~ 22:30,
자리,중국요리,3.3,306,"서울 용산구 이태원로54길 5-5
(지번) 한남동 682-22",37.53802733,127.0022057,070-8278-2947,"목화솜탕수육 (26,000원), 해물누룽지탕 (28,000원), 동파육 (26,000원), 마라팔보채 (28,000원), 철판고추유린기 (29,000원), 철판어향새우가지 (29,000원), 토마토칠리새우 (28,000원), 크림새우 (28,000원), 해물짬뽕 (13,000원), 차돌짬뽕 (14,000원), 게살새우볶음밥 (12,000원), 잡채밥 (12,000원), 중국식냉면(계절메뉴) (14,000원), 굴짬뽕(계절메뉴) (14,000원)",영업시간 매일 11:00 ~ 20:50 · 휴게시간 월~금 15:00 ~ 17:00,
매화,중국요리,3.6,32,"서울 용산구 한강대로15길 9-17 1층
(지번) 한강로3가 40-453",37.5252002,126.9632377,02-792-7161,"짜장면 (6,000원), 간짜장 (7,000원), 우동 (7,000원), 짬뽕 (7,000원), 삼선간짜장 (9,000원), 삼선우동 (9,000원), 삼선울면 (9,000원), 삼선짬뽕 (9,000원), 기스면 (8,500원), 고추짬뽕 (9,500원), 유니짜장 (8,000원), 유슬짜장 (8,000원), 해물쟁반짜장 (8,000원), 굴짬뽕(겨울메뉴) (10,000원), 볶음짬뽕 (8,000원), 물만두 (6,000원), 군만두 (6,000원), 볶음밥 (7,500원)",영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 16:00 ~ 17:00,
코파카바나그릴,"멕시칸,브라질",4.2,13,"서울 용산구 이태원로 142-1 쌍정빌딩 4층
(지번) 이태원동 56-21",37.53394681,126.9897195,02-796-1660,"점심&저녁 (40,000원)",월요일,
산골녹차냉면 본점,냉면,3.9,128,"서울 용산구 효창원로 147 1층
(지번) 효창동 5-327",37.54128506,126.9618529,02-716-1988,"돈까스 (11,000원), 매운돈까스 (12,000원), 생선까스 (11,000원), 비빔냉면 (9,000원), 물냉면 (9,000원), 메밀전병 (7,000원)",월요일,
흐이,"호프,요리주점",4.4,92,"서울 용산구 두텁바위로 71 1층
(지번) 후암동 254-83",37.54629838,126.9801149,02-319-3201,"흐이파스타 (17,000원), 매운 까르보나라 (16,000원), 치즈매운 토마토파스타 (16,000원), 감바스알하요 (17,000원), 고추장 간장 닭볶음 (17,000원), 닭볶음탕 (17,000원), 에그인더헬 (17,000원), 새우 까르보나라 (17,000원), 크림 토마토 홍합탕 (17,000원), 오리지날 홍합탕 (16,000원), 깻잎떡볶이 (14,000원), 버팔로윙과 감자튀김 (14,000원), 감자튀김 (7,000원), 간장버터밥 (6,000원), 갈릭버터바게트 필라델피아치즈 (8,000원), 빵추가 (2,000원), 밥추가 (3,000원), 카니미소 파스타 (17,000원)",매일 17:00 ~ 02:00,
한남타츠 본점,일본식주점,3.6,63,"서울 용산구 한남대로20길 37 1층
(지번) 한남동 68-15",37.53504136,127.0089956,02-797-0624,"스파이시 해물나베 (40,000원), 전복과 아보카도를 얹은 브리치즈튀김 (30,000원), 한우채끝등심스테이크와 그릴 야채 (58,000원), 와후스테이크와 그릴 야채 (58,000원)",매일 16:30 ~ 24:00,
